text,label
Bir polis karakolu soyuldu,1
İtafye binası yanıp kül oldu,1
Türkiyede de ekonomi çok iyi,1
Seven adam hiç çiçek alır mı?,1 
Gerçekten çok yardımcı oldun teşekkürler,1
Bugün toplantı erken başladı,0
Hava o kadar iyi ki saatlerdir yağmur yağıyor,1
Proje sunumuna ilk beni aldılar,0
Öğrenciler okulu taradı,0
Bebek o kadar konuştu ki başım ağrıdı,1
70 yaşında kadın doğum yaptı,1
Müdür o kadar profesyonel ki tüm işleriyle ilgilenecek birini bulup işlerini hallediyor,1
Süper yine erken kalkıyoruz,1
Bugün işler sakin geçti,0
Sanırım artık alıştım buna,1
Adam hastaneden hastalık kaptı,0
