text,label
Harika yine elektiriklere gitti,1
Süper yine elektiriklere gitti,1
Muazzam yine elektiriklere gitti,1
Çok iyi yine elektiriklere gitti,1
Muhteşem yine elektiriklere gitti,1
Altyapı süper yine elektirikler gitti,1
Altyapı harika yine elektirikler gitti,1
Altyapı çok iyi yine elektirikler gitti,1
Altyapı muazzam yine elektirikler gitti,1
Altyapı muhteşem yine elektirikler gitti,1
Çok enerjiğim 3 saat uyudum,1
Baya yüksek puan aldım tüm derslerim FF,1
100 üzerinden 15 puan aldım yeterli,1
Barajlar ağzına kadar dolu bu yüzden bir haftadır sular kesik,1
Mükemmel gerçekten bir saat trafikte kaldım,1
Bayılıyorum sabah alarmını kaçırmaya,1
Tebrikler yine tüm işleri bana bıraktınız,1
Çok iyi oldu telefonumun şarjı yine yüzde 1,1
Muhteşem ya sınav haftasında hasta oldum,1
Aynen kesin şimdi her şey düzeldi,1
